frame,reg,value
891,9,224
891,2,224
892,16,208
892,9,208
892,2,208
893,16,192
893,14,161
893,9,192
893,7,161
893,2,192
893,0,161
894,16,176
894,9,176
894,2,176
895,16,160
895,9,160
895,2,160
896,16,144
896,9,144
896,2,144
897,16,128
897,9,128
897,2,128
898,16,112
898,9,112
898,2,112
899,16,96
899,9,96
899,2,96
900,16,80
900,14,22
900,9,80
900,7,22
900,2,80
900,0,22
901,16,64
901,9,64
901,2,64
902,16,48
902,9,48
902,2,48
903,16,32
903,9,32
903,2,32
904,16,16
904,9,16
904,2,16
905,16,0
905,9,0
905,2,0
906,17,7
906,16,240
906,10,7
906,9,240
906,3,7
906,2,240
907,16,224
907,14,75
907,9,224
907,7,75
907,2,224
907,0,75
908,16,208
908,9,208
908,2,208
909,16,192
909,9,192
909,2,192
910,16,176
910,9,176
910,2,176
911,16,160
911,9,160
911,2,160
912,16,144
912,9,144
912,2,144
913,16,128
913,9,128
913,2,128
914,16,112
914,14,161
914,9,112
914,7,161
914,2,112
914,0,161
915,16,96
915,9,96
915,2,96
916,16,80
916,9,80
916,2,80
917,16,64
917,9,64
917,2,64
918,16,48
918,9,48
918,2,48
919,16,32
919,9,32
919,2,32
921,16,48
921,14,22
921,9,48
921,7,22
921,2,48
921,0,22
922,16,64
922,9,64
922,2,64
923,16,80
923,9,80
923,2,80
924,16,96
924,9,96
924,2,96
925,16,112
925,9,112
925,2,112
926,16,128
926,9,128
926,2,128
927,16,144
927,9,144
927,2,144
928,16,160
928,14,75
928,9,160
928,7,75
928,2,160
928,0,75
929,16,176
929,9,176
929,2,176
930,16,192
930,9,192
930,2,192
931,16,208
931,9,208
931,2,208
932,16,224
932,9,224
932,2,224
933,16,240
933,9,240
933,2,240
934,17,8
934,16,0
934,10,8
934,9,0
934,3,8
934,2,0
935,16,16
935,14,161
935,9,16
935,7,161
935,2,16
935,0,161
936,16,32
936,9,32
936,2,32
937,16,48
937,9,48
937,2,48
938,16,64
938,9,64
938,2,64
939,16,80
939,9,80
939,2,80
940,16,96
940,9,96
940,2,96
941,16,112
941,9,112
941,2,112
942,16,128
942,14,22
942,9,128
942,7,22
942,2,128
942,0,22
943,16,144
943,9,144
943,2,144
944,16,160
944,9,160
944,2,160
945,16,176
945,9,176
945,2,176
946,16,192
946,9,192
946,2,192
947,16,208
947,9,208
947,2,208
948,16,224
948,9,224
948,2,224
949,16,240
949,14,75
949,9,240
949,7,75
949,2,240
949,0,75
950,17,9
950,16,0
950,10,9
950,9,0
950,3,9
950,2,0
951,16,16
951,9,16
951,2,16
952,16,32
952,9,32
952,2,32
953,16,48
953,9,48
953,2,48
954,16,64
954,9,64
954,2,64
955,16,80
955,9,80
955,2,80
956,16,96
956,14,161
956,9,96
956,7,161
956,2,96
956,0,161
957,16,112
957,9,112
957,2,112
958,16,128
958,9,128
958,2,128
959,16,144
959,9,144
959,2,144
960,16,160
960,9,160
960,2,160
961,16,176
961,9,176
961,2,176
962,16,192
962,9,192
962,2,192
963,16,208
963,14,22
963,9,208
963,7,22
963,2,208
963,0,22
964,16,224
964,9,224
964,2,224
965,16,240
965,9,240
965,2,240
966,17,10
966,16,0
966,10,10
966,9,0
966,3,10
966,2,0
967,16,16
967,9,16
967,2,16
968,16,32
968,9,32
968,2,32
969,16,48
969,9,48
969,2,48
970,16,64
970,14,75
970,9,64
970,7,75
970,2,64
970,0,75
971,16,80
971,9,80
971,2,80
972,16,96
972,9,96
972,2,96
973,16,112
973,9,112
973,2,112
974,16,128
974,9,128
974,2,128
975,16,144
975,9,144
975,2,144
976,16,160
976,9,160
976,2,160
977,14,161
977,7,161
977,0,161
979,16,144
979,9,144
979,2,144
980,16,128
980,9,128
980,2,128
981,16,112
981,9,112
981,2,112
982,16,96
982,9,96
982,2,96
983,16,80
983,9,80
983,2,80
984,16,64
984,14,22
984,9,64
984,7,22
984,2,64
984,0,22
985,16,48
985,9,48
985,2,48
986,16,32
986,9,32
986,2,32
987,16,16
987,9,16
987,2,16
988,16,0
988,9,0
988,2,0
989,17,9
989,16,240
989,10,9
989,9,240
989,3,9
989,2,240
990,16,224
990,9,224
990,2,224
991,16,208
991,14,75
991,9,208
991,7,75
991,2,208
991,0,75
992,16,192
992,9,192
992,2,192
993,16,176
993,9,176
993,2,176
994,16,160
994,9,160
994,2,160
995,16,144
995,9,144
995,2,144
996,16,128
996,9,128
996,2,128
997,16,112
997,9,112
997,2,112
998,16,96
998,14,161
998,9,96
998,7,161
998,2,96
998,0,161
999,16,80
999,9,80
999,2,80
1000,16,64
1000,9,64
1000,2,64
1001,16,48
1001,9,48
1001,2,48
1002,16,32
1002,9,32
1002,2,32
1003,16,16
1003,9,16
1003,2,16
1004,16,0
1004,9,0
1004,2,0
1005,17,8
1005,16,240
1005,14,22
1005,10,8
1005,9,240
1005,7,22
1005,3,8
1005,2,240
1005,0,22
1006,16,224
1006,9,224
1006,2,224
1007,16,208
1007,9,208
1007,2,208
1008,16,192
1008,9,192
1008,2,192
1009,16,176
1009,9,176
1009,2,176
1010,16,160
1010,9,160
1010,2,160
1011,16,144
1011,9,144
1011,2,144
1012,16,128
1012,14,75
1012,9,128
1012,7,75
1012,2,128
1012,0,75
1013,16,112
1013,9,112
1013,2,112
1014,16,96
1014,9,96
1014,2,96
1015,16,80
1015,9,80
1015,2,80
1016,16,64
1016,9,64
1016,2,64
1017,16,48
1017,9,48
1017,2,48
1018,16,32
1018,9,32
1018,2,32
1019,16,16
1019,14,161
1019,9,16
1019,7,161
1019,2,16
1019,0,161
1020,16,0
1020,9,0
1020,2,0
1021,17,7
1021,16,240
1021,10,7
1021,9,240
1021,3,7
1021,2,240
1022,16,224
1022,9,224
1022,2,224
1023,16,208
1023,9,208
1023,2,208
1024,16,192
1024,9,192
1024,2,192
1025,16,176
1025,9,176
1025,2,176
1026,16,160
1026,14,22
1026,9,160
1026,7,22
1026,2,160
1026,0,22
1027,16,144
1027,9,144
1027,2,144
1028,16,128
1028,9,128
1028,2,128
1029,16,112
1029,9,112
1029,2,112
1030,16,96
1030,9,96
1030,2,96
1031,16,80
1031,9,80
1031,2,80
1032,16,64
1032,9,64
1032,2,64
1033,16,48
1033,14,75
1033,9,48
1033,7,75
1033,2,48
1033,0,75
1034,16,32
1034,9,32
1034,2,32
1036,16,48
1036,9,48
1036,2,48
1037,16,64
1037,9,64
1037,2,64
1038,16,80
1038,9,80
1038,2,80
1039,16,96
1039,9,96
1039,2,96
1040,16,112
1040,14,161
1040,9,112
1040,7,161
1040,2,112
1040,0,161
1041,16,128
1041,9,128
1041,2,128
1042,16,144
1042,9,144
1042,2,144
1043,16,160
1043,9,160
1043,2,160
1044,16,176
1044,9,176
1044,2,176
1045,16,192
1045,9,192
1045,2,192
1046,16,208
1046,9,208
1046,2,208
1047,16,224
1047,14,22
1047,9,224
1047,7,22
1047,2,224
1047,0,22
1048,16,240
1048,9,240
1048,2,240
1049,17,8
1049,16,0
1049,10,8
1049,9,0
1049,3,8
1049,2,0
1050,16,16
1050,9,16
1050,2,16
1051,16,32
1051,9,32
1051,2,32
1052,16,48
1052,9,48
1052,2,48
1053,16,64
1053,9,64
1053,2,64
1054,16,80
1054,14,75
1054,9,80
1054,7,75
1054,2,80
1054,0,75
1055,16,96
1055,9,96
1055,2,96
1056,16,112
1056,9,112
1056,2,112
1057,16,128
1057,9,128
1057,2,128
1058,16,144
1058,9,144
1058,2,144
1059,16,160
1059,9,160
1059,2,160
1060,16,176
1060,9,176
1060,2,176
